secs,&nbsp;4 12:28+1&gt;1,&nbsp;4 12:34+2&gt;2,&nbsp;4 14:24+6&gt;2,&nbsp;4 17:43+0&gt;2,&nbsp;9c+ 18:19+0&gt;13,&nbsp;9c+ 18:20+0&gt;24,&nbsp;9a 18:23+26&gt;26
117,0.01,1.78,1.44,NaN,NaN,NaN,0.41
117.5,0.02,1.79,1.43,NaN,NaN,NaN,0.42
118,0.04,1.81,1.44,NaN,NaN,NaN,0.42
118.5,0.07,1.83,1.44,NaN,NaN,NaN,0.42
119,0.09,1.82,1.45,NaN,NaN,NaN,0.43
119.5,0.07,1.83,1.45,NaN,NaN,NaN,0.42
120,0.02,1.82,1.44,NaN,NaN,NaN,0.44
120.5,NaN,1.82,1.45,NaN,NaN,NaN,0.44
121,NaN,1.81,1.46,NaN,NaN,NaN,0.45
121.5,NaN,1.81,1.44,NaN,NaN,NaN,0.45
122,NaN,1.81,1.42,NaN,NaN,NaN,0.44
122.5,NaN,1.84,1.42,NaN,NaN,NaN,0.43
123,NaN,1.90,1.44,NaN,NaN,NaN,0.42
123.5,NaN,1.97,1.43,NaN,NaN,NaN,0.43
124,NaN,2.00,1.45,NaN,NaN,NaN,0.42
124.5,NaN,1.99,1.47,NaN,NaN,NaN,0.43
125,NaN,1.99,1.49,NaN,NaN,NaN,0.42
125.5,NaN,1.98,1.50,NaN,NaN,NaN,0.43
126,NaN,1.92,1.53,NaN,NaN,NaN,0.43
126.5,NaN,1.86,1.55,NaN,NaN,NaN,0.44
127,NaN,1.84,1.58,NaN,NaN,NaN,0.46
127.5,NaN,1.87,1.60,NaN,NaN,NaN,0.47
128,NaN,1.88,1.63,NaN,NaN,NaN,0.47
128.5,NaN,1.88,1.64,NaN,NaN,NaN,0.48
129,NaN,1.90,1.64,NaN,NaN,NaN,0.46
129.5,NaN,1.89,1.64,NaN,NaN,NaN,0.46
130,0.01,1.87,1.62,NaN,NaN,NaN,0.45
130.5,0.09,1.82,1.61,NaN,NaN,NaN,0.45
131,0.12,1.77,1.60,NaN,NaN,NaN,0.45
131.5,0.18,1.71,1.60,NaN,NaN,NaN,0.44
132,0.21,1.68,1.58,NaN,NaN,NaN,0.42
132.5,0.28,1.59,1.60,NaN,NaN,NaN,0.40
133,0.34,1.49,1.60,NaN,NaN,NaN,0.38
133.5,0.38,1.43,1.62,NaN,NaN,NaN,0.36
134,0.39,1.41,1.62,NaN,NaN,NaN,0.35
134.5,0.39,1.41,1.63,NaN,NaN,NaN,0.34
135,0.41,1.43,1.64,NaN,NaN,NaN,0.35
135.5,0.42,1.37,1.64,NaN,NaN,NaN,0.34
136,0.45,1.34,1.63,NaN,NaN,NaN,0.34
136.5,0.46,1.33,1.62,NaN,NaN,NaN,0.40
137,0.47,1.33,1.62,NaN,NaN,NaN,0.40
137.5,0.47,1.38,1.60,NaN,NaN,NaN,0.38
138,0.49,1.40,1.61,NaN,NaN,NaN,0.38
138.5,0.48,1.43,1.61,NaN,NaN,NaN,0.36
139,0.47,1.43,1.59,NaN,NaN,NaN,0.36
139.5,0.46,1.44,1.58,NaN,NaN,NaN,0.35
140,0.44,1.40,1.61,NaN,NaN,NaN,0.34
140.5,0.43,1.39,1.60,NaN,NaN,NaN,0.30
141,0.45,1.34,1.59,NaN,NaN,NaN,0.29
141.5,0.45,1.27,1.62,NaN,NaN,NaN,0.27
142,0.46,1.23,1.62,NaN,NaN,NaN,0.25
142.5,0.47,1.20,1.60,NaN,NaN,NaN,0.23
143,0.45,1.17,1.58,NaN,NaN,NaN,0.22
143.5,0.44,1.14,1.58,NaN,NaN,NaN,0.20
144,0.43,1.09,1.57,NaN,NaN,NaN,0.20
144.5,0.42,1.03,1.57,NaN,NaN,NaN,0.20
145,0.40,0.95,1.55,NaN,NaN,NaN,0.18
145.5,0.37,0.93,1.54,NaN,NaN,NaN,0.16
146,0.35,0.87,1.54,NaN,NaN,NaN,0.15
146.5,0.36,0.83,1.53,NaN,NaN,NaN,0.15
147,0.37,0.78,1.53,NaN,NaN,NaN,0.15
147.5,0.41,0.78,1.53,NaN,NaN,NaN,0.14
148,0.44,0.76,1.50,NaN,NaN,NaN,0.15
148.5,0.47,0.73,1.48,NaN,NaN,NaN,0.15
149,0.50,0.74,1.45,NaN,NaN,NaN,0.14
149.5,0.50,0.74,1.40,NaN,NaN,NaN,0.15
150,0.59,0.77,1.38,NaN,NaN,NaN,0.16
150.5,0.69,0.79,1.37,NaN,NaN,NaN,0.15
151,0.76,0.84,1.36,NaN,NaN,NaN,0.16
151.5,0.81,0.87,1.35,NaN,NaN,NaN,0.17
152,0.81,0.93,1.33,NaN,NaN,NaN,0.19
152.5,0.83,0.96,1.34,NaN,NaN,NaN,0.20
153,0.84,0.96,1.33,NaN,NaN,NaN,0.23
153.5,0.87,0.98,1.32,NaN,NaN,NaN,0.24
154,0.91,0.98,1.31,NaN,NaN,NaN,0.26
154.5,0.91,1.02,1.32,NaN,NaN,NaN,0.27
155,0.92,1.04,1.34,NaN,NaN,NaN,0.28
155.5,0.95,1.05,1.37,NaN,NaN,NaN,0.27
156,0.93,1.02,1.37,NaN,NaN,NaN,0.27
156.5,0.89,1.00,1.38,NaN,NaN,NaN,0.28
157,0.86,0.99,1.40,NaN,NaN,NaN,0.31
157.5,0.82,0.98,1.41,NaN,NaN,NaN,0.33
158,0.77,0.99,1.44,NaN,NaN,NaN,0.34
158.5,0.72,1.02,1.45,NaN,NaN,NaN,0.36
159,0.67,1.03,1.46,NaN,NaN,NaN,0.36
159.5,0.67,1.06,1.45,NaN,NaN,NaN,0.39
160,0.62,1.10,1.42,NaN,NaN,NaN,0.40
