secs,&nbsp;4 17:21+1&gt;9,&nbsp;5b 17:23+1&gt;10,&nbsp;6a 17:26+1&gt;9,&nbsp;6a 17:32+2&gt;11,&nbsp;6a 17:38+2&gt;9,&nbsp;5b 17:41+1&gt;11,&nbsp;5c 17:44+1&gt;9,-6a+ 17:47+0&gt;3,-6a+ 17:48+2&gt;10,&nbsp;7a 18:24+3&gt;8,&nbsp;6a+ 18:33+2&gt;8,-6b+ 18:59+2&gt;2,&nbsp;5a 19:03+1&gt;7,&nbsp;6b+ 19:08+2&gt;8,&nbsp;6c 19:31+2&gt;5,&nbsp;6a+ 19:33+0&gt;5,&nbsp;6a+ 19:56+2&gt;9,&nbsp;5b 19:59+1&gt;7,&nbsp;6a 20:12+2&gt;8,&nbsp;6b 20:18+4&gt;10
58.5,8.03,6.57,5.48,5.81,2.93,7.99,5.60,NaN,5.19,3.79,4.92,1.50,3.71,4.42,2.54,5.30,5.05,4.25,3.23,4.92
59,8.11,6.62,5.52,5.92,2.99,8.05,5.52,NaN,5.18,3.91,4.92,1.46,3.80,4.41,2.54,5.30,5.10,4.29,3.22,4.96
59.5,8.17,6.65,5.54,6.14,3.08,8.11,5.46,NaN,5.17,4.01,4.86,1.39,3.89,4.37,2.53,5.28,5.15,4.32,3.30,5.03
60,8.34,6.66,5.57,6.29,3.17,8.18,5.42,NaN,5.15,4.06,4.83,1.24,4.01,4.36,2.51,5.24,5.13,4.37,3.43,5.10
60.5,8.52,6.64,5.61,6.37,3.20,8.32,5.37,NaN,5.13,4.10,4.81,1.07,4.14,4.35,2.54,5.20,5.19,4.39,3.54,5.17
61,8.71,6.74,5.66,6.45,3.27,8.36,5.36,NaN,5.11,4.11,4.88,1.00,4.28,4.52,2.50,5.15,5.29,4.53,3.63,5.20
61.5,8.82,6.84,5.73,6.49,3.37,8.38,5.37,NaN,5.22,4.16,4.99,0.90,4.38,4.47,2.49,5.07,5.38,4.72,3.70,5.22
62,8.89,6.89,5.91,6.49,3.40,8.36,5.37,NaN,5.29,4.19,5.06,0.81,4.46,4.39,2.47,5.03,5.45,4.82,3.73,5.23
62.5,8.96,6.95,6.04,6.50,3.46,8.34,5.39,NaN,5.40,4.19,5.09,0.75,4.53,4.37,2.42,4.98,5.50,4.89,3.80,5.27
63,8.98,7.08,6.17,6.50,3.46,8.28,5.47,NaN,5.49,4.20,5.13,0.73,4.59,4.34,2.40,4.85,5.56,4.90,3.86,5.24
63.5,8.97,7.20,6.20,6.55,3.49,8.24,5.54,NaN,5.53,4.20,5.13,0.70,4.61,4.32,2.40,4.76,5.59,4.97,3.89,5.26
64,9.02,7.25,6.27,6.56,3.53,8.28,5.60,NaN,5.53,4.17,5.13,0.71,4.62,4.33,2.39,4.71,5.60,4.98,3.94,5.29
64.5,9.15,7.35,6.30,6.56,3.55,8.35,5.66,NaN,5.58,4.17,5.14,0.72,4.61,4.34,2.48,4.56,5.62,5.04,3.96,5.31
65,9.30,7.45,6.38,6.61,3.61,8.38,5.68,NaN,5.61,4.17,5.17,0.72,4.61,4.29,2.55,4.44,5.64,5.06,3.98,5.32
65.5,9.36,7.53,6.43,6.63,3.72,8.40,5.70,NaN,5.62,4.20,5.24,0.75,4.57,4.26,2.61,4.31,5.65,5.15,3.99,5.26
66,9.43,7.61,6.42,6.62,3.82,8.44,5.69,NaN,5.62,4.19,5.23,0.78,4.48,4.20,2.66,4.14,5.69,5.22,4.00,5.05
66.5,9.45,7.70,6.43,6.60,3.90,8.49,5.71,NaN,5.60,4.22,5.27,0.82,4.45,4.16,2.69,3.98,5.70,5.30,4.04,4.97
67,9.45,7.80,6.50,6.61,4.00,8.57,5.74,NaN,5.58,4.24,5.28,0.88,4.39,4.21,2.71,3.83,5.75,5.34,4.08,4.91
67.5,9.35,7.91,6.62,6.61,4.06,8.71,5.81,NaN,5.57,4.32,5.30,0.91,4.38,4.29,2.71,3.65,5.85,5.42,4.09,4.90
68,9.15,8.05,6.71,6.62,4.04,8.82,5.83,NaN,5.55,4.32,5.28,0.98,4.34,4.35,2.66,3.44,5.91,5.46,4.12,4.91
68.5,8.90,8.18,6.82,6.57,4.05,8.93,5.88,NaN,5.50,4.31,5.28,1.03,4.39,4.39,2.63,3.29,6.02,5.46,4.15,4.88
69,8.62,8.26,6.90,6.52,4.04,9.01,5.89,NaN,5.48,4.30,5.29,1.08,4.48,4.44,2.62,3.06,6.13,5.44,4.17,4.87
69.5,8.29,8.33,6.96,6.51,4.01,9.13,5.98,NaN,5.43,4.31,5.28,1.14,4.51,4.47,2.62,2.87,6.19,5.43,4.16,4.89
70,7.98,8.35,6.96,6.52,3.93,9.26,6.01,NaN,5.41,4.29,5.30,1.17,4.55,4.45,2.62,2.79,6.26,5.54,4.16,4.88
70.5,7.65,8.41,6.97,6.51,3.90,9.34,6.06,NaN,5.35,4.26,5.37,1.24,4.57,4.43,2.64,2.57,6.32,5.68,4.26,4.90
71,7.30,8.42,7.01,6.49,3.87,9.37,6.13,NaN,5.30,4.26,5.37,1.25,4.58,4.43,2.66,2.34,6.32,5.81,4.39,4.89
71.5,7.15,8.50,7.02,6.54,3.85,9.50,6.21,NaN,5.25,4.34,5.41,1.28,4.62,4.41,2.59,2.13,6.33,5.91,4.46,4.86
72,6.80,8.52,7.09,6.55,3.83,9.62,6.34,NaN,5.19,4.40,5.43,1.31,4.61,4.40,2.67,1.90,6.37,5.97,4.51,4.78
72.5,6.38,8.52,7.21,6.62,3.82,9.75,6.45,NaN,5.15,4.40,5.45,1.34,4.59,4.42,2.66,1.70,6.42,6.00,4.57,4.73
73,5.98,8.52,7.33,6.63,3.87,9.82,6.56,NaN,5.12,4.41,5.50,1.32,4.59,4.47,2.62,1.47,6.41,6.06,4.62,4.69
73.5,5.58,8.57,7.43,6.66,3.93,9.85,6.63,NaN,5.13,4.40,5.48,1.33,4.61,4.57,2.63,1.19,6.41,6.15,4.67,4.59
74,5.19,8.66,7.46,6.69,3.94,9.92,6.67,NaN,5.21,4.37,5.43,1.35,4.63,4.62,2.62,0.89,6.41,6.22,4.68,4.55
74.5,4.80,8.73,7.55,6.73,3.94,10.00,6.73,NaN,5.31,4.32,5.39,1.35,4.62,4.66,2.62,0.65,6.43,6.26,4.76,4.51
75,4.42,8.78,7.67,6.76,3.95,10.10,6.77,NaN,5.35,4.33,5.30,1.35,4.66,4.69,2.61,0.38,6.48,6.27,4.82,4.43
75.5,4.06,8.84,7.77,6.82,4.00,10.15,6.79,NaN,5.37,4.30,5.18,1.43,4.66,4.67,2.62,0.22,6.48,6.31,4.82,4.36
76,3.70,8.85,7.87,6.99,4.03,10.19,6.83,NaN,5.55,4.28,5.00,1.54,4.68,4.63,2.66,0.19,6.50,6.36,4.82,4.29
76.5,3.35,9.01,7.90,7.11,4.15,10.24,6.91,NaN,5.77,4.20,4.94,1.61,4.70,4.60,2.75,0.10,6.52,6.38,4.99,4.23
77,2.98,9.24,7.98,7.21,4.24,10.28,6.95,NaN,5.91,4.15,4.78,1.56,4.72,4.56,2.89,0.07,6.52,6.48,5.01,4.22
77.5,2.81,9.30,8.01,7.25,4.34,10.35,6.97,NaN,6.02,4.08,4.63,1.58,4.79,4.55,2.88,0.05,6.44,6.67,4.93,4.31
78,2.47,9.37,8.02,7.24,4.44,10.44,7.01,NaN,6.12,4.01,4.53,1.62,4.92,4.57,2.86,0.07,6.41,6.86,4.87,4.40
78.5,2.10,9.44,8.06,7.17,4.59,10.50,7.04,NaN,6.22,3.95,4.46,1.65,5.06,4.58,2.80,0.08,6.33,6.95,4.83,4.43
79,1.70,9.51,8.08,7.13,4.68,10.54,7.02,NaN,6.24,3.88,4.41,1.64,5.19,4.64,2.78,0.06,6.22,7.04,4.84,4.47
79.5,1.32,9.60,8.10,7.09,4.76,10.59,7.05,NaN,6.26,3.88,4.35,1.65,5.28,4.70,2.81,0.04,6.13,7.09,4.83,4.51
80,0.99,9.65,8.17,7.08,4.79,10.51,7.09,NaN,6.31,3.84,4.33,1.66,5.30,4.74,2.84,0.03,6.08,7.15,4.84,4.52
80.5,0.66,9.75,8.29,7.08,4.83,10.33,7.21,NaN,6.31,3.81,4.29,1.67,5.37,4.73,2.90,0.03,6.08,7.16,4.81,4.61
81,0.40,9.85,8.39,7.06,4.83,10.06,7.29,NaN,6.32,3.82,4.27,1.69,5.40,4.73,2.91,0.01,6.08,7.15,4.80,4.67
81.5,0.29,9.90,8.45,7.08,4.83,9.81,7.34,NaN,6.31,3.81,4.32,1.68,5.37,4.74,2.90,0.05,6.15,7.16,4.71,4.77
82,0.21,9.99,8.48,7.19,4.85,9.68,7.37,NaN,6.32,3.79,4.38,1.66,5.36,4.74,2.95,0.04,6.27,7.18,4.83,4.91
82.5,0.21,9.95,8.50,7.30,4.83,9.41,7.40,NaN,6.29,3.81,4.44,1.64,5.38,4.78,2.91,0.07,6.43,7.15,4.82,4.98
83,0.27,9.67,8.52,7.39,4.80,9.14,7.44,NaN,6.27,3.79,4.53,1.61,5.39,4.81,2.85,0.05,6.54,7.17,4.84,5.02
83.5,0.24,9.33,8.57,7.49,4.79,8.86,7.53,NaN,6.27,3.79,4.60,1.62,5.41,4.84,2.81,0.05,6.60,7.18,4.96,4.99
84,0.25,8.97,8.56,7.55,4.78,8.57,7.63,NaN,6.26,3.76,4.69,1.62,5.42,4.86,2.81,0.02,6.68,7.19,5.03,4.96
84.5,0.27,8.59,8.58,7.62,4.79,8.29,7.68,NaN,6.28,3.75,4.76,1.58,5.43,4.91,2.77,0.04,6.76,7.22,5.09,4.94
85,0.29,8.14,8.61,7.66,4.80,8.02,7.76,NaN,6.31,3.71,4.84,1.57,5.48,5.01,2.75,0.04,6.85,7.17,5.10,4.92
85.5,0.27,7.72,8.66,7.68,4.84,7.74,7.81,NaN,6.42,3.70,4.91,1.54,5.53,5.08,2.78,0.03,6.94,7.16,5.16,4.91
86,0.26,7.53,8.79,7.74,4.87,7.44,7.82,NaN,6.52,3.71,4.94,1.49,5.56,5.12,2.89,-0.00,6.98,7.12,5.19,4.89
86.5,0.24,7.15,8.84,7.76,4.88,7.10,7.86,NaN,6.60,3.68,5.03,1.41,5.55,5.11,2.97,NaN,7.05,7.07,5.22,4.89
87,0.19,6.95,8.90,7.78,4.90,6.73,7.88,NaN,6.72,3.71,5.13,1.34,5.59,5.16,3.03,NaN,7.08,7.08,5.28,4.91
87.5,0.15,6.44,8.87,7.77,4.90,6.35,7.90,NaN,6.80,3.72,5.22,1.25,5.63,5.17,3.10,NaN,7.15,7.08,5.35,4.95
88,0.10,5.96,8.90,7.78,4.90,5.94,7.86,NaN,6.92,3.75,5.31,1.16,5.79,5.21,3.15,NaN,7.17,7.08,5.42,5.02
88.5,0.07,5.48,8.93,7.77,4.92,5.75,7.84,NaN,6.97,3.74,5.34,1.12,5.88,5.22,3.19,NaN,7.19,7.03,5.44,5.07
89,0.05,5.06,8.97,7.75,4.94,5.35,7.76,NaN,6.97,3.74,5.40,1.04,6.00,5.24,3.24,NaN,7.21,7.04,5.45,5.13
89.5,0.04,4.63,9.04,7.76,5.00,5.02,7.76,NaN,6.94,3.73,5.47,0.99,6.09,5.21,3.25,NaN,7.21,7.04,5.51,5.24
90,0.04,4.17,9.11,7.81,5.13,4.66,7.67,NaN,6.91,3.74,5.55,0.94,6.11,5.24,3.27,NaN,7.23,7.04,5.54,5.31
90.5,NaN,3.73,9.19,7.91,5.21,4.33,7.61,NaN,6.90,3.73,5.61,0.89,6.11,5.24,3.30,NaN,7.23,6.99,5.56,5.28
91,NaN,3.31,9.29,7.98,5.27,4.00,7.58,NaN,6.88,3.87,5.70,0.85,6.09,5.29,3.30,NaN,7.26,6.93,5.57,5.24
91.5,NaN,3.11,9.39,8.10,5.37,3.70,7.60,NaN,6.85,3.93,5.77,0.88,6.06,5.22,3.31,NaN,7.31,6.89,5.57,5.20
