secs,&nbsp;4 17:21+1&gt;9,&nbsp;5b 17:23+1&gt;10,&nbsp;6a 17:26+1&gt;9,&nbsp;6a 17:32+2&gt;11,&nbsp;6a 17:38+2&gt;9,&nbsp;5b 17:41+1&gt;11,&nbsp;5c 17:44+1&gt;9,-6a+ 17:47+0&gt;3,-6a+ 17:48+2&gt;10,&nbsp;7a 18:24+3&gt;8,&nbsp;6a+ 18:33+2&gt;8,-6b+ 18:59+2&gt;2,&nbsp;5a 19:03+1&gt;7,&nbsp;6b+ 19:08+2&gt;8,&nbsp;6c 19:31+2&gt;5,&nbsp;6a+ 19:33+0&gt;5,&nbsp;6a+ 19:56+2&gt;9,&nbsp;5b 19:59+1&gt;7,&nbsp;6a 20:12+2&gt;8,&nbsp;6b 20:18+4&gt;10
92,NaN,2.72,9.46,8.21,5.43,3.42,7.67,NaN,6.84,4.00,5.76,0.89,6.02,5.17,3.34,NaN,7.33,6.84,5.58,5.15
92.5,NaN,2.29,9.46,8.24,5.45,3.15,7.78,NaN,6.76,3.98,5.80,0.87,6.01,5.09,3.28,NaN,7.45,6.81,5.57,5.08
93,NaN,1.85,9.25,8.26,5.51,2.88,7.88,NaN,6.69,3.94,5.75,0.84,5.98,5.06,3.26,NaN,7.63,6.83,5.58,5.05
93.5,NaN,1.45,9.00,8.30,5.56,2.58,7.93,NaN,6.66,3.85,5.75,0.88,5.98,5.00,3.27,NaN,7.69,6.83,5.68,5.05
94,NaN,1.04,8.68,8.29,5.56,2.45,7.99,NaN,6.61,3.82,5.75,0.91,5.98,4.90,3.31,NaN,7.72,6.83,5.78,5.08
94.5,NaN,0.62,8.52,8.28,5.56,2.13,8.09,NaN,6.65,3.79,5.77,0.92,5.94,4.79,3.34,NaN,7.74,6.82,5.82,5.05
95,NaN,0.41,8.18,8.30,5.55,1.83,8.25,NaN,6.75,3.79,5.79,0.92,5.93,4.66,3.40,NaN,7.67,6.83,5.86,5.05
95.5,NaN,0.28,7.84,8.35,5.49,1.51,8.41,NaN,6.81,3.80,5.85,0.95,6.02,4.55,3.37,NaN,7.64,6.79,5.93,5.04
96,NaN,0.24,7.42,8.45,5.46,1.16,8.52,NaN,6.85,3.77,5.92,1.01,6.13,4.44,3.37,NaN,7.54,6.73,5.93,5.06
96.5,NaN,0.20,7.05,8.50,5.44,0.83,8.58,NaN,6.92,3.81,6.01,1.08,6.16,4.35,3.35,NaN,7.51,6.66,5.99,5.04
97,NaN,0.21,6.69,8.54,5.39,0.55,8.63,NaN,6.93,3.80,6.08,1.10,6.20,4.31,3.36,NaN,7.52,6.51,6.04,5.03
97.5,NaN,0.19,6.30,8.59,5.35,0.37,8.73,NaN,6.94,3.93,6.14,1.12,6.17,4.28,3.42,NaN,7.50,6.40,6.03,5.01
98,NaN,0.20,5.91,8.59,5.35,0.36,8.78,NaN,6.92,3.90,6.16,1.16,6.18,4.30,3.48,NaN,7.45,6.21,6.03,4.96
98.5,NaN,0.23,5.47,8.62,5.39,0.38,8.86,NaN,6.83,3.89,6.19,1.18,6.12,4.33,3.60,NaN,7.38,6.04,6.07,4.95
99,NaN,0.21,5.03,8.62,5.46,0.41,8.87,NaN,6.88,3.89,6.18,1.18,6.07,4.37,3.76,NaN,7.36,5.92,6.09,4.94
