secs,&nbsp;4 15:30+1&gt;2,&nbsp;4 15:34+0&gt;2,&nbsp;4 16:02+0&gt;1,&nbsp;4 17:42+0&gt;2
123,1.93,NaN,NaN,NaN
123.5,1.94,NaN,NaN,NaN
124,1.98,NaN,NaN,NaN
124.5,1.92,NaN,NaN,NaN
125,1.92,NaN,NaN,NaN
125.5,1.93,NaN,NaN,NaN
126,1.91,NaN,NaN,NaN
126.5,1.88,NaN,NaN,NaN
127,1.85,NaN,NaN,NaN
127.5,1.83,NaN,NaN,NaN
128,1.83,NaN,NaN,NaN
128.5,1.87,NaN,NaN,NaN
129,1.89,NaN,NaN,NaN
129.5,1.90,NaN,NaN,NaN
130,1.86,NaN,NaN,NaN
130.5,1.84,NaN,NaN,NaN
131,1.84,NaN,NaN,NaN
131.5,1.80,NaN,NaN,NaN
132,1.76,NaN,NaN,NaN
132.5,1.73,NaN,NaN,NaN
133,1.75,NaN,NaN,NaN
133.5,1.73,NaN,NaN,NaN
134,1.79,NaN,NaN,NaN
134.5,1.78,NaN,NaN,NaN
135,1.76,NaN,NaN,NaN
135.5,1.76,NaN,NaN,NaN
136,1.76,NaN,NaN,NaN
136.5,1.74,NaN,NaN,NaN
137,1.78,NaN,NaN,NaN
137.5,1.83,NaN,NaN,NaN
138,1.85,NaN,NaN,NaN
138.5,1.82,NaN,NaN,NaN
139,1.87,NaN,NaN,NaN
139.5,1.89,NaN,NaN,NaN
140,1.85,NaN,NaN,NaN
140.5,1.85,NaN,NaN,NaN
141,1.92,NaN,NaN,NaN
141.5,1.93,NaN,NaN,NaN
142,1.93,NaN,NaN,NaN
142.5,1.90,NaN,NaN,NaN
143,1.90,NaN,NaN,NaN
143.5,1.94,NaN,NaN,NaN
144,1.97,NaN,NaN,NaN
144.5,1.97,NaN,NaN,NaN
145,1.93,NaN,NaN,NaN
145.5,1.91,NaN,NaN,NaN
146,1.88,NaN,NaN,NaN
146.5,1.83,NaN,NaN,NaN
147,1.80,NaN,NaN,NaN
147.5,1.79,NaN,NaN,NaN
148,1.79,NaN,NaN,NaN
148.5,1.77,NaN,NaN,NaN
149,1.72,NaN,NaN,NaN
149.5,1.71,NaN,NaN,NaN
150,1.72,NaN,NaN,NaN
150.5,1.71,NaN,NaN,NaN
151,1.73,NaN,NaN,NaN
151.5,1.69,NaN,NaN,NaN
152,1.70,NaN,NaN,NaN
152.5,1.68,NaN,NaN,NaN
153,1.68,NaN,NaN,NaN
153.5,1.69,NaN,NaN,NaN
154,1.71,NaN,NaN,NaN
154.5,1.71,NaN,NaN,NaN
155,1.70,NaN,NaN,NaN
155.5,1.73,NaN,NaN,NaN
156,1.70,NaN,NaN,NaN
156.5,1.69,NaN,NaN,NaN
157,1.65,NaN,NaN,NaN
157.5,1.66,NaN,NaN,NaN
158,1.65,NaN,NaN,NaN
158.5,1.68,NaN,NaN,NaN
159,1.71,NaN,NaN,NaN
159.5,1.70,NaN,NaN,NaN
160,1.71,NaN,NaN,NaN
160.5,1.67,NaN,NaN,NaN
161,1.67,NaN,NaN,NaN
