secs,4 12:28+3&gt;1,4 12:34+20&gt;2,4 14:24+65&gt;2,4 17:43+1&gt;2,9c+ 18:19+1&gt;13,9c+ 18:20+0&gt;6
256.5,NaN,0.70,1.65,NaN,NaN,NaN
257,NaN,0.78,1.62,NaN,NaN,NaN
257.5,NaN,0.87,1.58,NaN,NaN,NaN
258,NaN,0.91,1.54,NaN,NaN,NaN
258.5,NaN,0.99,1.49,NaN,NaN,NaN
259,NaN,1.05,1.46,NaN,NaN,NaN
259.5,NaN,1.11,1.40,NaN,NaN,NaN
260,NaN,1.14,1.36,NaN,NaN,NaN
260.5,NaN,1.16,1.33,NaN,NaN,NaN
261,NaN,1.18,1.33,NaN,NaN,NaN
261.5,NaN,1.21,1.31,NaN,NaN,NaN
262,NaN,1.21,1.29,NaN,NaN,NaN
262.5,NaN,1.22,1.30,NaN,NaN,NaN
263,NaN,1.20,1.29,NaN,NaN,NaN
263.5,NaN,1.17,1.27,NaN,NaN,NaN
264,NaN,1.15,1.25,NaN,NaN,NaN
264.5,NaN,1.13,1.22,NaN,NaN,NaN
265,NaN,1.11,1.20,NaN,NaN,NaN
265.5,NaN,1.12,1.17,NaN,NaN,NaN
266,NaN,1.13,1.13,NaN,NaN,NaN
266.5,NaN,1.14,1.13,NaN,NaN,NaN
267,NaN,1.13,1.11,NaN,NaN,NaN
267.5,NaN,1.13,1.07,NaN,NaN,NaN
268,NaN,1.13,1.03,NaN,NaN,NaN
268.5,NaN,1.12,0.97,NaN,NaN,NaN
269,NaN,1.10,0.94,NaN,NaN,NaN
269.5,NaN,1.08,0.89,NaN,NaN,NaN
270,NaN,1.06,0.82,NaN,NaN,NaN
270.5,NaN,1.05,0.75,NaN,NaN,NaN
271,NaN,1.03,0.67,NaN,NaN,NaN
271.5,NaN,1.04,0.63,NaN,NaN,NaN
272,NaN,1.05,0.57,NaN,NaN,NaN
272.5,NaN,1.03,0.51,NaN,NaN,NaN
273,NaN,1.03,0.49,NaN,NaN,NaN
273.5,NaN,1.03,0.48,NaN,NaN,NaN
274,NaN,1.02,0.46,NaN,NaN,NaN
274.5,NaN,1.01,0.49,NaN,NaN,NaN
275,NaN,0.99,0.43,NaN,NaN,NaN
275.5,NaN,0.98,0.38,NaN,NaN,NaN
276,NaN,0.96,0.36,NaN,NaN,NaN
276.5,NaN,0.98,0.36,NaN,NaN,NaN
277,NaN,1.00,0.37,NaN,NaN,NaN
277.5,NaN,0.99,0.42,NaN,NaN,NaN
278,NaN,1.01,0.45,NaN,NaN,NaN
278.5,NaN,1.02,0.52,NaN,NaN,NaN
279,NaN,1.05,0.56,NaN,NaN,NaN
279.5,NaN,1.05,0.62,NaN,NaN,NaN
280,NaN,1.02,0.71,NaN,NaN,NaN
280.5,NaN,1.02,0.79,NaN,NaN,NaN
281,NaN,1.03,0.87,NaN,NaN,NaN
281.5,NaN,1.04,0.91,NaN,NaN,NaN
282,NaN,1.07,0.95,NaN,NaN,NaN
282.5,NaN,1.11,1.02,NaN,NaN,NaN
283,NaN,1.12,1.10,NaN,NaN,NaN
283.5,NaN,1.17,1.19,NaN,NaN,NaN
284,NaN,1.22,1.23,NaN,NaN,NaN
284.5,NaN,1.25,1.33,NaN,NaN,NaN
285,NaN,1.32,1.41,NaN,NaN,NaN
285.5,NaN,1.35,1.48,NaN,NaN,NaN
286,NaN,1.39,1.54,NaN,NaN,NaN
286.5,NaN,1.44,1.56,NaN,NaN,NaN
287,NaN,1.48,1.61,NaN,NaN,NaN
287.5,NaN,1.52,1.65,NaN,NaN,NaN
288,NaN,1.53,1.66,NaN,NaN,NaN
288.5,NaN,1.56,1.65,NaN,NaN,NaN
289,NaN,1.57,1.64,NaN,NaN,NaN
289.5,NaN,1.53,1.60,NaN,NaN,NaN
290,NaN,1.48,1.55,NaN,NaN,NaN
290.5,NaN,1.45,1.52,NaN,NaN,NaN
291,NaN,1.38,1.46,NaN,NaN,NaN
291.5,NaN,1.31,1.43,NaN,NaN,NaN
292,NaN,1.28,1.37,NaN,NaN,NaN
292.5,NaN,1.24,1.33,NaN,NaN,NaN
293,NaN,1.22,1.26,NaN,NaN,NaN
293.5,NaN,1.20,1.21,NaN,NaN,NaN
294,NaN,1.16,1.19,NaN,NaN,NaN
294.5,NaN,1.12,1.13,NaN,NaN,NaN
295,NaN,1.09,1.09,NaN,NaN,NaN
295.5,NaN,1.09,1.05,NaN,NaN,NaN
296,NaN,1.05,1.00,NaN,NaN,NaN
296.5,NaN,1.04,0.98,NaN,NaN,NaN
297,NaN,1.05,0.96,NaN,NaN,NaN
297.5,NaN,1.09,0.93,NaN,NaN,NaN
298,NaN,1.11,0.90,NaN,NaN,NaN
298.5,NaN,1.13,0.87,NaN,NaN,NaN
299,NaN,1.16,0.86,NaN,NaN,NaN
299.5,NaN,1.17,0.85,NaN,NaN,NaN
300,NaN,1.16,0.83,NaN,NaN,NaN
300.5,NaN,1.15,0.81,NaN,NaN,NaN
301,NaN,1.13,0.81,NaN,NaN,NaN
301.5,NaN,1.09,0.82,NaN,NaN,NaN
302,NaN,1.06,0.82,NaN,NaN,NaN
302.5,NaN,1.05,0.83,NaN,NaN,NaN
303,NaN,1.00,0.84,NaN,NaN,NaN
303.5,NaN,0.97,0.84,NaN,NaN,NaN
304,NaN,0.92,0.85,NaN,NaN,NaN
304.5,NaN,0.89,0.87,NaN,NaN,NaN
305,NaN,0.82,0.88,NaN,NaN,NaN
305.5,NaN,0.70,0.91,NaN,NaN,NaN
306,NaN,0.59,0.95,NaN,NaN,NaN
306.5,NaN,0.49,0.97,NaN,NaN,NaN
307,NaN,0.44,0.99,NaN,NaN,NaN
307.5,NaN,0.32,1.02,NaN,NaN,NaN
308,NaN,0.28,1.05,NaN,NaN,NaN
308.5,NaN,0.17,1.08,NaN,NaN,NaN
309,NaN,0.14,1.10,NaN,NaN,NaN
309.5,NaN,0.07,1.13,NaN,NaN,NaN
310,NaN,0.01,1.14,NaN,NaN,NaN
310.5,NaN,NaN,1.17,NaN,NaN,NaN
311,NaN,NaN,1.20,NaN,NaN,NaN
311.5,NaN,NaN,1.21,NaN,NaN,NaN
312,NaN,NaN,1.23,NaN,NaN,NaN
312.5,NaN,NaN,1.23,NaN,NaN,NaN
313,NaN,NaN,1.24,NaN,NaN,NaN
313.5,NaN,NaN,1.25,NaN,NaN,NaN
314,NaN,NaN,1.25,NaN,NaN,NaN
314.5,NaN,NaN,1.27,NaN,NaN,NaN
315,NaN,NaN,1.25,NaN,NaN,NaN
315.5,NaN,NaN,1.24,NaN,NaN,NaN
316,NaN,NaN,1.24,NaN,NaN,NaN
316.5,NaN,NaN,1.24,NaN,NaN,NaN
317,NaN,NaN,1.23,NaN,NaN,NaN
317.5,NaN,NaN,1.23,NaN,NaN,NaN
318,NaN,NaN,1.20,NaN,NaN,NaN
318.5,NaN,NaN,1.19,NaN,NaN,NaN
319,NaN,NaN,1.18,NaN,NaN,NaN
319.5,NaN,NaN,1.19,NaN,NaN,NaN
320,NaN,0.05,1.21,NaN,NaN,NaN
320.5,NaN,0.15,1.25,NaN,NaN,NaN
321,NaN,0.35,1.24,NaN,NaN,NaN
321.5,NaN,0.49,1.25,NaN,NaN,NaN
322,NaN,0.59,1.26,NaN,NaN,NaN
322.5,NaN,0.64,1.28,NaN,NaN,NaN
323,NaN,0.74,1.29,NaN,NaN,NaN
323.5,NaN,0.81,1.30,NaN,NaN,NaN
324,NaN,0.87,1.33,NaN,NaN,NaN
324.5,NaN,0.94,1.34,NaN,NaN,NaN
325,NaN,0.98,1.34,NaN,NaN,NaN
325.5,NaN,1.02,1.36,NaN,NaN,NaN
326,NaN,1.05,1.37,NaN,NaN,NaN
326.5,NaN,1.05,1.38,NaN,NaN,NaN
327,NaN,1.06,1.39,NaN,NaN,NaN
327.5,NaN,1.05,1.41,NaN,NaN,NaN
328,NaN,1.05,1.45,NaN,NaN,NaN
328.5,NaN,1.02,1.47,NaN,NaN,NaN
329,NaN,0.99,1.51,NaN,NaN,NaN
329.5,NaN,1.00,1.53,NaN,NaN,NaN
330,NaN,1.00,1.55,NaN,NaN,NaN
330.5,NaN,0.99,1.55,NaN,NaN,NaN
331,NaN,0.92,1.54,NaN,NaN,NaN
331.5,NaN,0.89,1.53,NaN,NaN,NaN
332,NaN,0.90,1.53,NaN,NaN,NaN
332.5,NaN,0.90,1.54,NaN,NaN,NaN
333,NaN,0.94,1.54,NaN,NaN,NaN
333.5,NaN,0.95,1.54,NaN,NaN,NaN
334,NaN,0.97,1.52,NaN,NaN,NaN
334.5,NaN,1.00,1.52,NaN,NaN,NaN
335,NaN,1.02,1.50,NaN,NaN,NaN
335.5,NaN,1.06,1.49,NaN,NaN,NaN
336,NaN,1.12,1.49,NaN,NaN,NaN
336.5,NaN,1.19,1.49,NaN,NaN,NaN
337,NaN,1.22,1.49,NaN,NaN,NaN
337.5,NaN,1.25,1.47,NaN,NaN,NaN
338,NaN,1.28,1.44,NaN,NaN,NaN
338.5,NaN,1.29,1.44,NaN,NaN,NaN
339,NaN,1.30,1.43,NaN,NaN,NaN
339.5,NaN,1.29,1.43,NaN,NaN,NaN
340,NaN,1.29,1.43,NaN,NaN,NaN
340.5,NaN,1.26,1.44,NaN,NaN,NaN
341,NaN,1.22,1.45,NaN,NaN,NaN
341.5,NaN,1.17,1.46,NaN,NaN,NaN
342,NaN,1.11,1.47,NaN,NaN,NaN
342.5,NaN,1.08,1.46,NaN,NaN,NaN
343,NaN,1.05,1.47,NaN,NaN,NaN
343.5,NaN,1.07,1.46,NaN,NaN,NaN
344,NaN,1.08,1.45,NaN,NaN,NaN
344.5,NaN,1.14,1.45,NaN,NaN,NaN
345,NaN,1.17,1.45,NaN,NaN,NaN
345.5,NaN,1.22,1.45,NaN,NaN,NaN
346,NaN,1.25,1.45,NaN,NaN,NaN
346.5,NaN,1.30,1.43,NaN,NaN,NaN
347,NaN,1.34,1.44,NaN,NaN,NaN
347.5,NaN,1.35,1.43,NaN,NaN,NaN
348,NaN,1.40,1.46,NaN,NaN,NaN
348.5,NaN,1.41,1.47,NaN,NaN,NaN
349,NaN,1.41,1.53,NaN,NaN,NaN
349.5,NaN,1.41,1.58,NaN,NaN,NaN
350,NaN,1.39,1.59,NaN,NaN,NaN
350.5,NaN,1.39,1.62,NaN,NaN,NaN
351,NaN,1.42,1.64,NaN,NaN,NaN
351.5,NaN,1.41,1.67,NaN,NaN,NaN
352,NaN,1.40,1.72,NaN,NaN,NaN
352.5,NaN,1.36,1.75,NaN,NaN,NaN
353,NaN,1.37,1.79,NaN,NaN,NaN
353.5,NaN,1.33,1.84,NaN,NaN,NaN
354,NaN,1.28,1.93,NaN,NaN,NaN
354.5,NaN,1.26,2.00,NaN,NaN,NaN
355,NaN,1.21,2.03,NaN,NaN,NaN
355.5,NaN,1.17,2.07,NaN,NaN,NaN
356,NaN,1.13,2.10,NaN,NaN,NaN
356.5,NaN,1.12,2.07,NaN,NaN,NaN
357,NaN,1.11,1.99,NaN,NaN,NaN
357.5,NaN,1.08,1.96,NaN,NaN,NaN
358,NaN,1.05,1.90,NaN,NaN,NaN
358.5,NaN,1.03,1.83,NaN,NaN,NaN
359,NaN,1.02,1.75,NaN,NaN,NaN
359.5,NaN,1.01,1.75,NaN,NaN,NaN
360,NaN,0.99,1.70,NaN,NaN,NaN
360.5,NaN,0.98,1.67,NaN,NaN,NaN
361,NaN,0.98,1.62,NaN,NaN,NaN
361.5,NaN,1.03,1.60,NaN,NaN,NaN
362,NaN,1.06,1.58,NaN,NaN,NaN
362.5,NaN,1.11,1.57,NaN,NaN,NaN
363,NaN,1.14,1.54,NaN,NaN,NaN
363.5,NaN,1.19,1.49,NaN,NaN,NaN
364,NaN,1.24,1.45,NaN,NaN,NaN
364.5,NaN,1.26,1.43,NaN,NaN,NaN
365,NaN,1.30,1.41,NaN,NaN,NaN
365.5,NaN,1.35,1.39,NaN,NaN,NaN
366,NaN,1.36,1.35,NaN,NaN,NaN
366.5,NaN,1.35,1.31,NaN,NaN,NaN
367,NaN,1.35,1.29,NaN,NaN,NaN
367.5,NaN,1.34,1.25,NaN,NaN,NaN
368,NaN,1.35,1.21,NaN,NaN,NaN
368.5,NaN,1.35,1.18,NaN,NaN,NaN
369,NaN,1.33,1.14,NaN,NaN,NaN
369.5,NaN,1.33,1.13,NaN,NaN,NaN
370,NaN,1.30,1.12,NaN,NaN,NaN
370.5,NaN,1.25,1.13,NaN,NaN,NaN
371,NaN,1.20,1.12,NaN,NaN,NaN
371.5,NaN,1.17,1.11,NaN,NaN,NaN
372,NaN,1.16,1.12,NaN,NaN,NaN
372.5,NaN,1.12,1.11,NaN,NaN,NaN
373,NaN,1.08,1.09,NaN,NaN,NaN
373.5,NaN,1.05,1.06,NaN,NaN,NaN
374,NaN,0.99,1.03,NaN,NaN,NaN
374.5,NaN,0.97,1.02,NaN,NaN,NaN
375,NaN,0.92,1.00,NaN,NaN,NaN
375.5,NaN,0.86,0.99,NaN,NaN,NaN
376,NaN,0.79,0.95,NaN,NaN,NaN
376.5,NaN,0.71,0.93,NaN,NaN,NaN
377,NaN,0.67,0.92,NaN,NaN,NaN
377.5,NaN,0.55,0.90,NaN,NaN,NaN
378,NaN,0.41,0.88,NaN,NaN,NaN
378.5,NaN,0.30,0.87,NaN,NaN,NaN
379,NaN,0.23,0.88,NaN,NaN,NaN
379.5,NaN,0.22,0.88,NaN,NaN,NaN
380,NaN,0.21,0.90,NaN,NaN,NaN
380.5,NaN,0.21,0.92,NaN,NaN,NaN
381,NaN,0.23,0.97,NaN,NaN,NaN
381.5,NaN,0.33,1.03,NaN,NaN,NaN
382,NaN,0.39,1.05,NaN,NaN,NaN
382.5,NaN,0.51,1.09,NaN,NaN,NaN
383,NaN,0.63,1.13,NaN,NaN,NaN
383.5,NaN,0.76,1.16,NaN,NaN,NaN
384,NaN,0.90,1.19,NaN,NaN,NaN
384.5,NaN,0.91,1.22,NaN,NaN,NaN
385,NaN,0.97,1.27,NaN,NaN,NaN
385.5,NaN,0.95,1.34,NaN,NaN,NaN
386,NaN,0.95,1.41,NaN,NaN,NaN
386.5,NaN,1.01,1.48,NaN,NaN,NaN
387,NaN,1.06,1.51,NaN,NaN,NaN
387.5,NaN,1.17,1.61,NaN,NaN,NaN
388,NaN,1.25,1.72,NaN,NaN,NaN
388.5,NaN,1.30,1.80,NaN,NaN,NaN
389,NaN,1.32,1.89,NaN,NaN,NaN
389.5,NaN,1.34,1.92,NaN,NaN,NaN
390,NaN,1.36,1.98,NaN,NaN,NaN
390.5,NaN,1.38,2.03,NaN,NaN,NaN
391,NaN,1.36,2.08,NaN,NaN,NaN
391.5,NaN,1.32,2.11,NaN,NaN,NaN
392,NaN,1.28,2.11,NaN,NaN,NaN
392.5,NaN,1.22,2.15,NaN,NaN,NaN
393,NaN,1.19,2.15,NaN,NaN,NaN
393.5,NaN,1.16,2.11,NaN,NaN,NaN
394,NaN,1.16,2.06,NaN,NaN,NaN
394.5,NaN,1.14,2.02,NaN,NaN,NaN
395,NaN,1.12,1.95,NaN,NaN,NaN
395.5,NaN,1.06,1.86,NaN,NaN,NaN
396,NaN,0.99,1.76,NaN,NaN,NaN
396.5,NaN,0.92,1.65,NaN,NaN,NaN
397,NaN,0.88,1.59,NaN,NaN,NaN
397.5,NaN,0.79,1.46,NaN,NaN,NaN
398,NaN,0.74,1.33,NaN,NaN,NaN
398.5,NaN,0.69,1.24,NaN,NaN,NaN
399,NaN,0.66,1.14,NaN,NaN,NaN
399.5,NaN,0.64,1.09,NaN,NaN,NaN
400,NaN,0.62,0.96,NaN,NaN,NaN
400.5,NaN,0.60,0.86,NaN,NaN,NaN
401,NaN,0.60,0.82,NaN,NaN,NaN
401.5,NaN,0.63,0.80,NaN,NaN,NaN
402,NaN,0.65,0.80,NaN,NaN,NaN
402.5,NaN,0.71,0.82,NaN,NaN,NaN
403,NaN,0.75,0.83,NaN,NaN,NaN
403.5,NaN,0.76,0.86,NaN,NaN,NaN
404,NaN,0.78,0.87,NaN,NaN,NaN
404.5,NaN,0.81,0.89,NaN,NaN,NaN
405,NaN,0.84,0.92,NaN,NaN,NaN
405.5,NaN,0.91,0.94,NaN,NaN,NaN
406,NaN,0.98,0.92,NaN,NaN,NaN
406.5,NaN,1.00,0.91,NaN,NaN,NaN
407,NaN,1.03,0.90,NaN,NaN,NaN
407.5,NaN,1.01,0.88,NaN,NaN,NaN
408,NaN,0.98,0.88,NaN,NaN,NaN
408.5,NaN,1.02,0.90,NaN,NaN,NaN
409,NaN,1.07,0.92,NaN,NaN,NaN
409.5,NaN,1.09,0.92,NaN,NaN,NaN
410,NaN,1.07,0.95,NaN,NaN,NaN
410.5,NaN,1.07,0.99,NaN,NaN,NaN
411,NaN,1.02,1.01,NaN,NaN,NaN
411.5,NaN,1.00,1.04,NaN,NaN,NaN
412,NaN,0.99,1.06,NaN,NaN,NaN
412.5,NaN,0.95,1.05,NaN,NaN,NaN
413,NaN,0.90,1.07,NaN,NaN,NaN
413.5,NaN,0.85,1.08,NaN,NaN,NaN
414,NaN,0.81,1.09,NaN,NaN,NaN
414.5,NaN,0.80,1.10,NaN,NaN,NaN
415,NaN,0.78,1.11,NaN,NaN,NaN
415.5,NaN,0.75,1.13,NaN,NaN,NaN
416,NaN,0.78,1.19,NaN,NaN,NaN
416.5,NaN,0.80,1.23,NaN,NaN,NaN
417,NaN,0.79,1.27,NaN,NaN,NaN
417.5,NaN,0.79,1.31,NaN,NaN,NaN
418,NaN,0.78,1.36,NaN,NaN,NaN
418.5,NaN,0.78,1.39,NaN,NaN,NaN
419,NaN,0.77,1.40,NaN,NaN,NaN
419.5,NaN,0.77,1.40,NaN,NaN,NaN
420,NaN,0.78,1.40,NaN,NaN,NaN
420.5,NaN,0.76,1.39,NaN,NaN,NaN
421,NaN,0.74,1.36,NaN,NaN,NaN
421.5,NaN,0.71,1.33,NaN,NaN,NaN
422,NaN,0.70,1.30,NaN,NaN,NaN
422.5,NaN,0.69,1.26,NaN,NaN,NaN
423,NaN,0.67,1.22,NaN,NaN,NaN
423.5,NaN,0.64,1.18,NaN,NaN,NaN
424,NaN,0.64,1.15,NaN,NaN,NaN
424.5,NaN,0.63,1.13,NaN,NaN,NaN
425,NaN,0.62,1.11,NaN,NaN,NaN
425.5,NaN,0.64,1.05,NaN,NaN,NaN
426,NaN,0.65,1.01,NaN,NaN,NaN
426.5,NaN,0.67,0.99,NaN,NaN,NaN
427,NaN,0.69,0.98,NaN,NaN,NaN
427.5,NaN,0.67,0.97,NaN,NaN,NaN
428,NaN,0.64,0.96,NaN,NaN,NaN
428.5,NaN,0.61,0.97,NaN,NaN,NaN
429,NaN,0.58,0.99,NaN,NaN,NaN
429.5,NaN,0.53,1.03,NaN,NaN,NaN
430,NaN,0.48,1.04,NaN,NaN,NaN
430.5,NaN,0.45,1.07,NaN,NaN,NaN
431,NaN,0.42,1.11,NaN,NaN,NaN
431.5,NaN,0.40,1.10,NaN,NaN,NaN
432,NaN,0.40,1.11,NaN,NaN,NaN
432.5,NaN,0.38,1.13,NaN,NaN,NaN
433,NaN,0.35,1.12,NaN,NaN,NaN
433.5,NaN,0.32,1.07,NaN,NaN,NaN
434,NaN,0.30,1.05,NaN,NaN,NaN
434.5,NaN,0.28,0.98,NaN,NaN,NaN
435,NaN,0.30,0.88,NaN,NaN,NaN
435.5,NaN,0.33,0.85,NaN,NaN,NaN
436,NaN,0.37,0.85,NaN,NaN,NaN
436.5,NaN,0.38,0.86,NaN,NaN,NaN
437,NaN,0.44,0.87,NaN,NaN,NaN
437.5,NaN,0.47,0.92,NaN,NaN,NaN
438,NaN,0.52,0.96,NaN,NaN,NaN
438.5,NaN,0.54,0.97,NaN,NaN,NaN
439,NaN,0.56,0.98,NaN,NaN,NaN
439.5,NaN,0.65,1.01,NaN,NaN,NaN
440,NaN,0.76,0.98,NaN,NaN,NaN
440.5,NaN,0.89,1.01,NaN,NaN,NaN
441,NaN,0.99,1.04,NaN,NaN,NaN
441.5,NaN,1.03,1.04,NaN,NaN,NaN
442,NaN,1.15,1.05,NaN,NaN,NaN
442.5,NaN,1.33,1.07,NaN,NaN,NaN
443,NaN,1.46,1.08,NaN,NaN,NaN
443.5,NaN,1.60,1.09,NaN,NaN,NaN
444,NaN,1.65,1.11,NaN,NaN,NaN
444.5,NaN,1.73,1.15,NaN,NaN,NaN
445,NaN,1.83,1.18,NaN,NaN,NaN
445.5,NaN,1.90,1.23,NaN,NaN,NaN
446,NaN,1.94,1.28,NaN,NaN,NaN
446.5,NaN,1.96,1.32,NaN,NaN,NaN
447,NaN,1.93,1.39,NaN,NaN,NaN
447.5,NaN,1.84,1.45,NaN,NaN,NaN
448,NaN,1.77,1.53,NaN,NaN,NaN
448.5,NaN,1.68,1.60,NaN,NaN,NaN
449,NaN,1.62,1.63,NaN,NaN,NaN
449.5,NaN,1.51,1.66,NaN,NaN,NaN
450,NaN,1.42,1.68,NaN,NaN,NaN
450.5,NaN,1.32,1.71,NaN,NaN,NaN
451,NaN,1.23,1.70,NaN,NaN,NaN
451.5,NaN,1.20,1.70,NaN,NaN,NaN
452,NaN,1.13,1.69,NaN,NaN,NaN
452.5,NaN,1.07,1.71,NaN,NaN,NaN
453,NaN,1.04,1.74,NaN,NaN,NaN
453.5,NaN,1.02,1.74,NaN,NaN,NaN
454,NaN,0.99,1.76,NaN,NaN,NaN
454.5,NaN,0.92,1.78,NaN,NaN,NaN
455,NaN,0.84,1.79,NaN,NaN,NaN
455.5,NaN,0.76,1.81,NaN,NaN,NaN
456,NaN,0.70,1.80,NaN,NaN,NaN
456.5,NaN,0.66,1.79,NaN,NaN,NaN
457,NaN,0.63,1.77,NaN,NaN,NaN
457.5,NaN,0.57,1.75,NaN,NaN,NaN
458,NaN,0.54,1.72,NaN,NaN,NaN
458.5,NaN,0.51,1.70,NaN,NaN,NaN
459,NaN,0.49,1.69,NaN,NaN,NaN
459.5,NaN,0.48,1.67,NaN,NaN,NaN
460,NaN,0.47,1.64,NaN,NaN,NaN
460.5,NaN,0.46,1.62,NaN,NaN,NaN
461,NaN,0.47,1.62,NaN,NaN,NaN
461.5,NaN,0.46,1.60,NaN,NaN,NaN
462,NaN,0.43,1.55,NaN,NaN,NaN
462.5,NaN,0.41,1.51,NaN,NaN,NaN
463,NaN,0.40,1.47,NaN,NaN,NaN
463.5,NaN,0.38,1.43,NaN,NaN,NaN
464,NaN,0.36,1.40,NaN,NaN,NaN
464.5,NaN,0.32,1.38,NaN,NaN,NaN
465,NaN,0.23,1.36,NaN,NaN,NaN
465.5,NaN,0.16,1.33,NaN,NaN,NaN
466,NaN,0.05,1.31,NaN,NaN,NaN
466.5,NaN,0.04,1.29,NaN,NaN,NaN
467,NaN,0.02,1.25,NaN,NaN,NaN
467.5,NaN,0.07,1.22,NaN,NaN,NaN
468,NaN,0.15,1.19,NaN,NaN,NaN
468.5,NaN,0.23,1.16,NaN,NaN,NaN
469,NaN,0.29,1.14,NaN,NaN,NaN
469.5,NaN,0.40,1.11,NaN,NaN,NaN
470,NaN,0.48,1.06,NaN,NaN,NaN
470.5,NaN,0.51,1.00,NaN,NaN,NaN
471,NaN,0.52,1.00,NaN,NaN,NaN
471.5,NaN,0.52,1.01,NaN,NaN,NaN
472,NaN,0.50,1.07,NaN,NaN,NaN
472.5,NaN,0.48,1.10,NaN,NaN,NaN
473,NaN,0.44,1.16,NaN,NaN,NaN
473.5,NaN,0.41,1.19,NaN,NaN,NaN
474,NaN,0.39,1.20,NaN,NaN,NaN
474.5,NaN,0.32,1.21,NaN,NaN,NaN
475,NaN,0.27,1.21,NaN,NaN,NaN
475.5,NaN,0.20,1.21,NaN,NaN,NaN
476,NaN,0.15,1.26,NaN,NaN,NaN
476.5,NaN,0.13,1.30,NaN,NaN,NaN
477,NaN,0.08,1.36,NaN,NaN,NaN
477.5,NaN,0.04,1.39,NaN,NaN,NaN
478,NaN,NaN,1.39,NaN,NaN,NaN
478.5,NaN,NaN,1.38,NaN,NaN,NaN
479,NaN,NaN,1.38,NaN,NaN,NaN
479.5,NaN,NaN,1.37,NaN,NaN,NaN
480,NaN,NaN,1.36,NaN,NaN,NaN
480.5,NaN,NaN,1.37,NaN,NaN,NaN
481,NaN,NaN,1.37,NaN,NaN,NaN
481.5,NaN,NaN,1.37,NaN,NaN,NaN
482,NaN,NaN,1.39,NaN,NaN,NaN
482.5,NaN,NaN,1.41,NaN,NaN,NaN
483,NaN,NaN,1.43,NaN,NaN,NaN
483.5,NaN,NaN,1.45,NaN,NaN,NaN
484,NaN,NaN,1.50,NaN,NaN,NaN
484.5,NaN,NaN,1.55,NaN,NaN,NaN
485,NaN,0.00,1.59,NaN,NaN,NaN
485.5,NaN,0.03,1.63,NaN,NaN,NaN
486,NaN,0.06,1.65,NaN,NaN,NaN
486.5,NaN,0.11,1.68,NaN,NaN,NaN
487,NaN,0.18,1.68,NaN,NaN,NaN
487.5,NaN,0.25,1.68,NaN,NaN,NaN
488,NaN,0.33,1.66,NaN,NaN,NaN
488.5,NaN,0.34,1.65,NaN,NaN,NaN
489,NaN,0.37,1.64,NaN,NaN,NaN
489.5,NaN,0.40,1.62,NaN,NaN,NaN
490,NaN,0.41,1.60,NaN,NaN,NaN
490.5,NaN,0.43,1.56,NaN,NaN,NaN
491,NaN,0.43,1.56,NaN,NaN,NaN
491.5,NaN,0.43,1.53,NaN,NaN,NaN
492,NaN,0.43,1.51,NaN,NaN,NaN
492.5,NaN,0.44,1.53,NaN,NaN,NaN
493,NaN,0.46,1.56,NaN,NaN,NaN
493.5,NaN,0.47,1.57,NaN,NaN,NaN
494,NaN,0.48,1.59,NaN,NaN,NaN
494.5,NaN,0.50,1.61,NaN,NaN,NaN
495,NaN,0.52,1.65,NaN,NaN,NaN
495.5,NaN,0.55,1.70,NaN,NaN,NaN
496,NaN,0.57,1.71,NaN,NaN,NaN
496.5,NaN,0.59,1.72,NaN,NaN,NaN
497,NaN,0.62,1.74,NaN,NaN,NaN
497.5,NaN,0.65,1.73,NaN,NaN,NaN
498,NaN,0.66,1.73,NaN,NaN,NaN
498.5,NaN,0.66,1.74,NaN,NaN,NaN
499,NaN,0.67,1.72,NaN,NaN,NaN
499.5,NaN,0.69,1.72,NaN,NaN,NaN
500,NaN,0.69,1.74,NaN,NaN,NaN
500.5,NaN,0.71,1.76,NaN,NaN,NaN
501,NaN,0.71,1.74,NaN,NaN,NaN
501.5,NaN,0.72,1.72,NaN,NaN,NaN
502,NaN,0.72,1.71,NaN,NaN,NaN
502.5,NaN,0.71,1.71,NaN,NaN,NaN
503,NaN,0.71,1.68,NaN,NaN,NaN
503.5,NaN,0.72,1.66,NaN,NaN,NaN
504,NaN,0.74,1.61,NaN,NaN,NaN
504.5,NaN,0.74,1.60,NaN,NaN,NaN
505,NaN,0.73,1.56,NaN,NaN,NaN
505.5,NaN,0.72,1.52,NaN,NaN,NaN
506,NaN,0.72,1.51,NaN,NaN,NaN
506.5,NaN,0.70,1.49,NaN,NaN,NaN
507,NaN,0.69,1.46,NaN,NaN,NaN
507.5,NaN,0.67,1.44,NaN,NaN,NaN
508,NaN,0.65,1.42,NaN,NaN,NaN
508.5,NaN,0.63,1.39,NaN,NaN,NaN
509,NaN,0.61,1.38,NaN,NaN,NaN
509.5,NaN,0.56,1.36,NaN,NaN,NaN
510,NaN,0.53,1.36,NaN,NaN,NaN
510.5,NaN,0.51,1.35,NaN,NaN,NaN
511,NaN,0.46,1.34,NaN,NaN,NaN
511.5,NaN,0.40,1.33,NaN,NaN,NaN
512,NaN,0.33,1.35,NaN,NaN,NaN
512.5,NaN,0.26,1.37,NaN,NaN,NaN
513,NaN,0.22,1.40,NaN,NaN,NaN
513.5,NaN,0.13,1.40,NaN,NaN,NaN
